"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2023/02/12,Jonquière,100,To meet constituents,Hosting a reception or open house,M0329679,Restaurant le Yéti,1000.00,"Simard, Mario"
2023/02/21,Jonquière,5,To meet constituents,Community activity or event,M0330451,Paroisse Sainte-Famille,120.00,"Simard, Mario"
2023/02/23,Chicoutimi,4,To meet constituents,Community activity or event,M0330451,"Oeuvres du Rotary Saguenay, Les",500.00,"Simard, Mario"
2023/03/01,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0331514,Nespresso,84.55,"Simard, Mario"
2023/03/08,Jonquière,10,To meet constituents,Community activity or event,M0332631,Productions Brume Inc.,267.85,"Simard, Mario"
2023/03/09,Jonquière,3,To meet constituents,Hosting a meeting,M0331804,Canadian Tire,35.99,"Simard, Mario"
2023/03/10,Jonquière,3,To meet constituents,Community activity or event,M0334542,Fondation PJ2004,340.00,"Simard, Mario"
2023/03/15,Jonquière,3,To meet constituents,Hosting a meeting,M0333059,"Quesada Burritos, Tacos",79.21,"Simard, Mario"
2023/03/16,Jonquière,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0333528,Passion Café,15.03,"Simard, Mario"
2023/03/16,Jonquière,1,To meet constituents,Community activity or event,M0333508,"FONDATION JEAN ALLARD, LA",250.00,"Simard, Mario"
2023/03/27,Jonquière,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0335251,Mikes,29.47,"Simard, Mario"
2022/04/01,Terrebonne,0,To meet visitors of Member’s office,Hosting a meeting,M0329612,IGA,35.65,"Sinclair-Desgagné, Nathalie"
2023/01/09,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0326692,Le petit marché,3.29,"Sinclair-Desgagné, Nathalie"
2023/01/23,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0327988,Le petit marché par l'aparte,3.29,"Sinclair-Desgagné, Nathalie"
2023/01/23,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0327988,Le petit marché par l'aparte,11.00,"Sinclair-Desgagné, Nathalie"
2023/01/25,Terrebonne,2,To exchange with dignitaries,Hosting a meeting,M0327988,Bygs Smoked Meat,35.75,"Sinclair-Desgagné, Nathalie"
2023/02/01,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0329598,Le petit marché,3.29,"Sinclair-Desgagné, Nathalie"
2023/02/05,Terrebonne,8,To plan Member's priorities and activities,Hosting a meeting,M0329599,Le petit marché,11.00,"Sinclair-Desgagné, Nathalie"
2023/02/08,Terrebonne,8,To plan Member's priorities and activities,Hosting a meeting,M0329598,Le petit marché,11.00,"Sinclair-Desgagné, Nathalie"
2023/02/10,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0330335,maxi,18.54,"Sinclair-Desgagné, Nathalie"
2023/02/12,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0330335,3 amigos,106.65,"Sinclair-Desgagné, Nathalie"
2023/02/20,Terrebonne,150,To discuss constituency issues with stakeholders,"Gala, reception or ceremony",M0330953,Chambre de Commerce et d'Industrie Les Moulins,170.00,"Sinclair-Desgagné, Nathalie"
2023/02/27,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0331244,Le petit marché par l'aparte,3.39,"Sinclair-Desgagné, Nathalie"
2023/03/03,Terrebonne,3,To plan Member's priorities and activities,Hosting a staff event,M0333414,Le petit marché,3.39,"Sinclair-Desgagné, Nathalie"
2023/03/05,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0333675,Tim Hortons,19.99,"Sinclair-Desgagné, Nathalie"
2023/03/06,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0332174,Nespresso,372.20,"Sinclair-Desgagné, Nathalie"
2023/03/10,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0332174,Costco,116.34,"Sinclair-Desgagné, Nathalie"
2023/03/13,Terrebonne,2,To exchange with dignitaries,Hosting a meeting,M0333414,Bygs,15.25,"Sinclair-Desgagné, Nathalie"
2023/03/16,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0333675,Bygs,17.00,"Sinclair-Desgagné, Nathalie"
2023/03/16,Terrebonne,2,To exchange with dignitaries,Hosting a meeting,M0333414,Toit Orange,6.95,"Sinclair-Desgagné, Nathalie"
2023/03/27,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0334966,Le petit marché,3.39,"Sinclair-Desgagné, Nathalie"
2023/03/28,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0334966,Brûlerie de la rivière,23.76,"Sinclair-Desgagné, Nathalie"
2023/03/28,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0334966,Walmart,107.65,"Sinclair-Desgagné, Nathalie"
2023/03/29,Terrebonne,50,To meet constituents,Hosting a town hall or community event,M0335547,Tim Hortons,108.73,"Sinclair-Desgagné, Nathalie"
2023/03/30,Terrebonne,6,To plan Member's priorities and activities,Hosting a meeting,M0335547,IGA,92.69,"Sinclair-Desgagné, Nathalie"
2022/07/22,Burnaby,10000,To meet constituents,Community activity or event,M0321221,Dollarama,19.26,"Singh, Jagmeet"
2022/07/22,Burnaby,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0321221,Cartem's Doughnuts,42.00,"Singh, Jagmeet"
2022/07/22,Burnaby,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0337286,Indian Bombay Bistro,60.91,"Singh, Jagmeet"
2022/07/22,Burnaby,10000,To meet constituents,Community activity or event,M0327166,Everlasting Enterprises Ltd.,159.60,"Singh, Jagmeet"
2022/07/22,Burnaby,10000,To meet constituents,Community activity or event,M0321221,Glitzville UBC,32.09,"Singh, Jagmeet"
2022/07/22,Burnaby,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0321221,Shoppers Drug Mart,5.99,"Singh, Jagmeet"
2022/09/05,Surrey,400,To meet constituents,Community activity or event,M0321221,New Westminster & District Labour Council ,20.00,"Singh, Jagmeet"
2022/10/24,Burnaby,4,To plan Member's priorities and activities,Hosting a meeting,M0334307,Ki Tea House Cafe,18.90,"Singh, Jagmeet"
2022/11/21,Burnaby,15,To plan Member's priorities and activities,Hosting a staff event,M0337286,La foret,87.98,"Singh, Jagmeet"
2022/11/21,Burnaby,10,To plan Member's priorities and activities,Hosting a staff event,M0321221,London Drugs,25.79,"Singh, Jagmeet"
2022/12/22,Burnaby,250,To meet constituents,Community activity or event,M0324956,"City of Burnaby Parks, Recreation & Cultural Services",1346.76,"Singh, Jagmeet"
2023/01/21,Burnaby,600,To celebrate a significant event,Hosting a town hall or community event,M0328555,T&T Supermarket,479.00,"Singh, Jagmeet"
2023/01/21,Burnaby,600,To celebrate a significant event,Hosting a town hall or community event,M0332411,Shore Fire Protection LTD.,660.00,"Singh, Jagmeet"
2023/01/21,Burnaby,600,To celebrate a significant event,Hosting a town hall or community event,M0328555,SBC Insurance Agencies Ltd.,380.00,"Singh, Jagmeet"
2023/01/21,Burnaby,600,To celebrate a significant event,Hosting a town hall or community event,M0327170,Dollarama,181.07,"Singh, Jagmeet"
2023/01/21,Burnaby,600,To celebrate a significant event,Hosting a town hall or community event,M0327170,Top-Valu Food Products Ltd.,64.00,"Singh, Jagmeet"
2023/01/21,Burnaby,600,To celebrate a significant event,Hosting a town hall or community event,M0330053,"Ma, Vicky",300.00,"Singh, Jagmeet"
2023/01/21,Burnaby,600,To celebrate a significant event,Hosting a town hall or community event,M0327526,Nikkei National Museum and Cultural Centre,1516.02,"Singh, Jagmeet"
2023/02/21,Burnaby,5,To plan Member's priorities and activities,Hosting a meeting,M0334307,London Drugs,49.95,"Singh, Jagmeet"
2023/03/04,Burnaby,200,To meet constituents,Hosting a town hall or community event,M0331095,West Coast Disposal Ltd.,350.00,"Singh, Jagmeet"
2023/03/08,Burnaby,35,To meet constituents,Hosting a reception or open house,M0331095,Uprising Breads Bakery,83.40,"Singh, Jagmeet"
2023/03/08,Burnaby,35,To meet constituents,Hosting a reception or open house,M0334307,Real Canadian Superstore,24.97,"Singh, Jagmeet"
2023/03/11,Burnaby,250,To celebrate a significant event,"Gala, reception or ceremony",M0331095,Burnaby Neighbourhood House,250.00,"Singh, Jagmeet"
2023/03/24,Burnaby,250,To celebrate a significant event,"Gala, reception or ceremony",M0334307,Burnaby Sports Hall of Fame,250.00,"Singh, Jagmeet"
2023/03/29,Ottawa,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0337285,Tim Hortons,37.98,"Singh, Jagmeet"
2023/03/30,Burnaby,4,To plan Member's priorities and activities,Hosting a staff event,M0337285,Kiku Sushi,76.08,"Singh, Jagmeet"
2022/06/01,Toronto,6,To plan Member's priorities and activities,Hosting a meeting,M0331601,Mario''s Meats & Specia,11.99,"Sorbara, Francesco"
2022/06/01,Toronto,6,To plan Member's priorities and activities,Hosting a meeting,M0326438,sawa Convenience store,5.38,"Sorbara, Francesco"
2022/06/01,Toronto,6,To plan Member's priorities and activities,Hosting a meeting,M0331601,Sawa Convenience store,2.69,"Sorbara, Francesco"
2022/12/14,Ottawa,30,To celebrate a significant event,Hosting a reception or open house,M0327178,House of Commons Food Services — Services de restauration de la Chambre des communes,316.25,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326462,costco wholesale,292.17,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326438,No Frills,11.80,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326438,dollarama,70.07,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326462,Fortinos,117.50,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0327028,City of Vaughan,433.06,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326462,walmart,44.12,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326438, dollar tree,28.82,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326438,Costco Wholesale,269.67,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326438,Canadian Tire,79.09,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326438,Walmart,246.73,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326462,freshco,13.54,"Sorbara, Francesco"
2023/01/07,Woodbridge,400,To celebrate a significant event,Hosting a reception or open house,M0326438,Food Basics,44.82,"Sorbara, Francesco"
2023/01/19,Toronto,60,To celebrate a significant event,Hosting a reception or open house,M0327182,Fortinos,29.90,"Sorbara, Francesco"
2023/01/19,Toronto,60,To celebrate a significant event,Hosting a reception or open house,M0327915,Mandarin Vaughan,74.65,"Sorbara, Francesco"
2023/01/19,Toronto,60,To celebrate a significant event,Hosting a reception or open house,M0327182,Sunny Foodmart,34.05,"Sorbara, Francesco"
2023/01/19,Toronto,60,To celebrate a significant event,Hosting a reception or open house,M0327182,Nofrills,8.06,"Sorbara, Francesco"
2023/01/19,Toronto,60,To celebrate a significant event,Hosting a reception or open house,M0327921,Sunny Foodmart,23.24,"Sorbara, Francesco"
2023/01/19,Toronto,60,To celebrate a significant event,Hosting a reception or open house,M0327182,Costco Wholesale,103.36,"Sorbara, Francesco"
2023/01/19,Toronto,60,To celebrate a significant event,Hosting a reception or open house,M0327921,Costco Wholesale,24.99,"Sorbara, Francesco"
2023/01/19,Toronto,60,To celebrate a significant event,Hosting a reception or open house,M0327921,Sawa Convenience store,3.99,"Sorbara, Francesco"
2023/01/25,Toronto,20,To discuss constituency issues with stakeholders,Hosting a meeting,M0327915,Via Mercanti Woodbridge,159.01,"Sorbara, Francesco"
2023/02/21,Woodbridge,50,To plan Member's priorities and activities,Hosting a town hall or community event,M0331601,Walmart,15.94,"Sorbara, Francesco"
2023/02/21,Woodbridge,50,To plan Member's priorities and activities,Hosting a town hall or community event,M0331581,City of Vaughan,296.24,"Sorbara, Francesco"
2023/02/21,Woodbridge,50,To plan Member's priorities and activities,Hosting a town hall or community event,M0331581,Costco Wholesale,120.40,"Sorbara, Francesco"
2023/02/21,Woodbridge,50,To plan Member's priorities and activities,Hosting a town hall or community event,M0331581,No Frills,36.79,"Sorbara, Francesco"
2023/03/04,Vaughan,35,To meet constituents,Hosting a town hall or community event,M0332007,Oze's Cafe,729.00,"Sorbara, Francesco"
2023/03/13,Toronto,8,To plan Member's priorities and activities,Community activity or event,M0334712,Pizza Nova,38.58,"Sorbara, Francesco"
2023/03/13,Toronto,6,To meet constituents,Hosting a meeting,M0333392,Pizza Nova,20.74,"Sorbara, Francesco"
2023/03/16,Toronto,175,To meet constituents,Hosting a town hall or community event,M0333392,Costco,189.01,"Sorbara, Francesco"
2023/03/16,Toronto,175,To meet constituents,Hosting a town hall or community event,M0333392,Your Dollar Store,18.00,"Sorbara, Francesco"
2023/03/16,Toronto,175,To meet constituents,Hosting a town hall or community event,M0333393,City of Vaughan,62.00,"Sorbara, Francesco"
2023/03/26,Toronto,150,To celebrate a significant event,Hosting a town hall or community event,M0335775,Mama Fatma Inc.,3208.54,"Sorbara, Francesco"
2023/01/25,Edson,3,To celebrate a significant event,Hosting a staff event,M0328113,The Fresh Vine Eatery & Catering,103.02,"Soroka, Gerald"
2023/02/06,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0329038,Milestones,137.42,"Soroka, Gerald"
2023/02/07,Ottawa,2,To meet constituents,Hosting a meeting,M0329402,Milestones,116.95,"Soroka, Gerald"
2023/02/24,Rocky Mountain House,1,To celebrate a significant event,"Gala, reception or ceremony",M0332505,Mardi Gras Gala,160.00,"Soroka, Gerald"
2023/03/30,Ottawa,2,To meet constituents,Hosting a meeting,M0335708,Parliamentary Restaurant,117.00,"Soroka, Gerald"
2023/01/30,Ottawa,60,To meet constituents,Hosting a reception or open house,M0329681,House of Commons Food Services — Services de restauration de la Chambre des communes,1239.10,"Sousa, Charles"
2023/01/30,Ottawa,60,To meet constituents,Hosting a reception or open house,M0329687,The Grand Pizzeria & Bar and Uber Eats.,122.43,"Sousa, Charles"
2023/03/17,Mississauga,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0333527,Longos,19.95,"Sousa, Charles"
2023/03/17,Mississauga,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0333527,Cobs Bread,33.10,"Sousa, Charles"
2022/12/16,Regina,3,To attend staff events including training,Hosting a staff event,M0326071,Birminghams,73.03,"Steinley, Warren"
2022/12/17,Regina,3,To meet constituents,"Gala, reception or ceremony",M0328283,Philippine Association of Sask,150.00,"Steinley, Warren"
2023/01/03,Regina,9,To celebrate a significant event,"Gala, reception or ceremony",M0326071,Tim Hortons,26.42,"Steinley, Warren"
2023/01/18,Regina,50,To meet constituents,Hosting a reception or open house,M0328283,Costco,150.93,"Steinley, Warren"
2023/02/01,Regina,2,To discuss constituency issues with stakeholders,Community activity or event,M0328283,Regina & District Chamber of Commerce,144.30,"Steinley, Warren"
2023/03/02,Regina,500,To discuss constituency issues with stakeholders,Community activity or event,M0331973,Eventbrite,130.46,"Steinley, Warren"
2023/03/04,Regina,500,To celebrate a significant event,"Gala, reception or ceremony",M0331973,An Evening in Greece,280.00,"Steinley, Warren"
2023/03/15,Ottawa,5,"To discuss business of the House, caucus and committees",Hosting a staff event,M0334987,Costco,82.87,"Steinley, Warren"
2022/04/01,Joliette,0,To meet visitors of Member’s office,Hosting a meeting,M0332389,Brûlerie du Roy,22.54,"Ste-Marie, Gabriel"
2022/04/01,Joliette,0,To meet visitors of Member’s office,Hosting a meeting,M0332447,Nepresso,131.10,"Ste-Marie, Gabriel"
2022/04/01,Joliette,0,To meet visitors of Member’s office,Hosting a meeting,M0332389,Brûlerie du Roy - Joliette,21.02,"Ste-Marie, Gabriel"
2022/09/23,Mascouche,2,To meet constituents,Community activity or event,M0333376,Nourri-Source Lanaudière,68.95,"Ste-Marie, Gabriel"
2022/09/29,Saint-Jean-de-Matha,4,To meet constituents,Community activity or event,M0333376,Maison Louis-Cyr,400.00,"Ste-Marie, Gabriel"
2022/10/11,Joliette,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0334207,Métro Bélair,32.81,"Ste-Marie, Gabriel"
2022/10/15,Joliette,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0332389,Société de l'autisme Région Lanaudière,60.00,"Ste-Marie, Gabriel"
2022/10/19,Joliette,6,To plan Member's priorities and activities,Hosting a meeting,M0332389,Boulangerie et Fromagerie St-Viateur,15.28,"Ste-Marie, Gabriel"
2022/10/28,Joliette,2,To meet constituents,Community activity or event,M0333376,Fondation des Samares,280.00,"Ste-Marie, Gabriel"
2022/11/07,Joliette (Ville),0,To discuss constituency issues with stakeholders,Community activity or event,M0325727,Chambre de Commerce du Grand Joliette,53.04,"Ste-Marie, Gabriel"
2022/11/17,Saint-Liguori,1,To discuss constituency issues with stakeholders,Community activity or event,M0333376,Table des partenaires du développement social de Lanaudière,57.45,"Ste-Marie, Gabriel"
2022/11/26,Joliette (MRC / RCM),4,To meet constituents,Community activity or event,M0332389,Mon Afrique à Lanaudière,80.00,"Ste-Marie, Gabriel"
2022/11/29,Joliette,1,To discuss constituency issues with stakeholders,Community activity or event,M0332447,Tourisme Lanaudière,24.35,"Ste-Marie, Gabriel"
2022/12/05,Joliette (Ville),0,To discuss constituency issues with stakeholders,Community activity or event,M0325727,Chambre de Commerce du Grand Joliette,53.04,"Ste-Marie, Gabriel"
2022/12/05,Joliette,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0333376,Benny&Co Joliette,156.33,"Ste-Marie, Gabriel"
2022/12/12,Matawinie,1,To meet constituents,Community activity or event,M0332389,Chambre de commerce Haute-Matawinie,56.53,"Ste-Marie, Gabriel"
2022/12/16,Joliette (Ville),2,To meet constituents,Community activity or event,M0332389,Fondation Espace Jeunesse Lanaudière,280.00,"Ste-Marie, Gabriel"
2023/01/17,Joliette,6,To plan Member's priorities and activities,Hosting a meeting,M0332447,Restaurant Ras-le-Bol,153.38,"Ste-Marie, Gabriel"
2023/02/06,Joliette (Ville),0,To meet constituents,Community activity or event,M0329512,CCGJ,61.88,"Ste-Marie, Gabriel"
2023/02/15,Montréal,1,To meet constituents,Community activity or event,M0332447,Rassemblement pour un pays souverain,50.00,"Ste-Marie, Gabriel"
2023/02/18,Joliette,1,To meet constituents,Community activity or event,M0333376,Choeur du Musée d'art de Joliette,100.00,"Ste-Marie, Gabriel"
2023/02/18,Joliette,1,To meet constituents,Community activity or event,M0332389,Choeur du Musée d'art de Joliette,100.00,"Ste-Marie, Gabriel"
2023/02/21,Joliette,6,To plan Member's priorities and activities,Hosting a meeting,M0334207,Chez Henri,113.51,"Ste-Marie, Gabriel"
2023/03/17,Saint-Jacques,1,To meet constituents,Community activity or event,M0333376,Fondation Collège Esther-Blondin,140.00,"Ste-Marie, Gabriel"
2022/10/31,Cowansville,6,To meet visitors of Member’s office,Hosting a reception or open house,M0320977,Walmart,19.41,"St-Onge, Pascale"
2023/01/09,Cowansville,5,To meet visitors of Member’s office,Hosting a meeting,M0327547,Walmart,8.95,"St-Onge, Pascale"
2023/01/12,Cowansville,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0327488,La cafe,72.07,"St-Onge, Pascale"
2023/01/12,Cowansville,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0327488,IGa,44.03,"St-Onge, Pascale"
2023/01/16,Cowansville,5,To meet visitors of Member’s office,Hosting a staff event,M0332704,L'atelier Virgin Hill,29.20,"St-Onge, Pascale"
2023/02/02,Orford,150,To meet constituents,Community activity or event,M0327547,Vision Attractivité,80.59,"St-Onge, Pascale"
2023/02/14,Ottawa,100,"To discuss business of the House, caucus and committees",Hosting a town hall or community event,M0332691,SAW,107.25,"St-Onge, Pascale"
2023/02/14,Ottawa,100,"To discuss business of the House, caucus and committees",Hosting a town hall or community event,M0332691,DJ Matelot Max,30.00,"St-Onge, Pascale"
2023/02/22,Cowansville,5,To plan Member's priorities and activities,Hosting a meeting,M0332704,Cyncuisine,79.72,"St-Onge, Pascale"
2023/03/08,Cowansville,3,To attend staff events including training,Hosting a town hall or community event,M0332722,Horizon pour elle Inc.,60.00,"St-Onge, Pascale"
2023/03/17,Cowansville,5,To plan Member's priorities and activities,Hosting a meeting,M0332738,St-Hubert,103.59,"St-Onge, Pascale"
2023/03/25,Cowansville,3,To meet constituents,"Gala, reception or ceremony",M0335405,Fonds de soutien à la communauté,500.00,"St-Onge, Pascale"
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335442,IGA,8.98,"St-Onge, Pascale"
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335442,Atelier Trema ,11.95,"St-Onge, Pascale"
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335432,Walmart,28.66,"St-Onge, Pascale"
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335442,l'Apothicaire,24.45,"St-Onge, Pascale"
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335442,L'Atelier Virgin HIll,21.04,"St-Onge, Pascale"
2022/04/01,Chilliwack,0,To meet visitors of Member’s office,Hosting a meeting,M0328753,Real Canadian Superstore,60.42,"Strahl, Mark"
2022/04/01,Chilliwack,0,To meet visitors of Member’s office,Hosting a meeting,M0325328,Real Canadian Superstore,63.24,"Strahl, Mark"
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0325316,Loblaws,9.53,"Strahl, Mark"
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0325316,Costco,41.99,"Strahl, Mark"
2022/04/01,Chilliwack,0,To meet visitors of Member’s office,Hosting a meeting,M0337227,Real Canadian Superstore,64.18,"Strahl, Mark"
2022/04/01,Chilliwack,0,To meet visitors of Member’s office,Hosting a meeting,M0335179,Real Canadian Superstore,74.78,"Strahl, Mark"
2022/12/07,Ottawa,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0325341,Keg,508.44,"Strahl, Mark"
2022/12/30,Chilliwack,250,To meet constituents,Community activity or event,M0325328,Tim Hortons,78.32,"Strahl, Mark"
2023/02/14,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0337222,Madisons New York Grill,164.90,"Strahl, Mark"
2023/02/17,Chilliwack,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0330936,Frankies Chilliwack,128.45,"Strahl, Mark"
2023/03/10,Chilliwack,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0337222,Ricky's All Day Grill,43.94,"Strahl, Mark"
2023/03/24,Hope,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0335179,Hope Mountain Cafe,89.53,"Strahl, Mark"
2023/03/28,Ottawa,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0335179,Metro,31.46,"Strahl, Mark"
2022/11/10,Two Hills,60,To meet constituents,Hosting a reception or open house,M0328315,Two Hills Clover Farm,54.94,"Stubbs, Shannon"
2022/11/10,Two Hills,60,To meet constituents,Hosting a reception or open house,M0328315,CO-OP,103.84,"Stubbs, Shannon"
2023/02/20,Kanata,500,To celebrate a significant event,Community activity or event,M0330728,Costco,58.95,"Sudds, Jenna"
2023/02/21,Kanata,6,To attend staff events including training,Hosting a staff event,M0330732,Metro,45.02,"Sudds, Jenna"
2023/03/08,Kanata,50,To celebrate a significant event,Hosting a town hall or community event,M0332401,Costco,65.43,"Sudds, Jenna"
2023/03/08,Kanata,50,To celebrate a significant event,Hosting a town hall or community event,M0332396,Dollarama,19.50,"Sudds, Jenna"
2023/03/08,Kanata,50,To celebrate a significant event,Hosting a town hall or community event,M0332403,Salted Cookies,191.50,"Sudds, Jenna"
2023/03/08,Kanata,50,To celebrate a significant event,Hosting a town hall or community event,M0332400,Canadian Tire,17.97,"Sudds, Jenna"
2023/03/08,Kanata,50,To celebrate a significant event,Hosting a town hall or community event,M0332400,Walmart,5.97,"Sudds, Jenna"
2023/03/08,Kanata,50,To celebrate a significant event,Hosting a town hall or community event,M0332396,Walmart,20.37,"Sudds, Jenna"
2022/04/01,Hamilton,0,To meet visitors of Member’s office,Hosting a meeting,M0334560,Fortinos ,54.96,"Tassi, Filomena"
2022/04/01,Hamilton,0,To meet visitors of Member’s office,Hosting a meeting,M0328837,Metro ,8.49,"Tassi, Filomena"
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0323589,Food Services - House of Commons ,26.25,"Tassi, Filomena"
2022/04/01,Hamilton,0,To meet visitors of Member’s office,Hosting a meeting,M0329289,Fortinos ,33.98,"Tassi, Filomena"
2022/04/01,Hamilton,0,To meet visitors of Member’s office,Hosting a meeting,M0328837,Fortinos ,39.97,"Tassi, Filomena"
2022/04/01,Hamilton,0,To meet visitors of Member’s office,Hosting a meeting,M0326841,Fortinos,55.55,"Tassi, Filomena"
2022/04/01,Hamilton,0,To meet visitors of Member’s office,Hosting a meeting,M0334560,Goodness Me,46.97,"Tassi, Filomena"
2023/01/15,Hamilton (City / Ville),80,To meet constituents,Hosting a town hall or community event,M0326725,Caniche French Bakery,134.38,"Tassi, Filomena"
2023/01/15,Hamilton (City / Ville),80,To meet constituents,Hosting a town hall or community event,M0326725,Tim Hortons ,197.96,"Tassi, Filomena"
2023/01/15,Hamilton (City / Ville),80,To meet constituents,Hosting a town hall or community event,M0326725,Esso Circle K,7.78,"Tassi, Filomena"
2023/01/15,Hamilton (City / Ville),80,To meet constituents,Hosting a town hall or community event,M0326725,Costco,55.74,"Tassi, Filomena"
2023/01/15,Hamilton (City / Ville),80,To meet constituents,Hosting a town hall or community event,M0326802,David Tabone,250.00,"Tassi, Filomena"
2023/01/23,Hamilton (City / Ville),25,To discuss constituency issues with stakeholders,Hosting a meeting,M0329421,Liuna Station,1168.14,"Tassi, Filomena"
2023/01/15,Aurora,65,To meet constituents,Hosting a reception or open house,M0327608,York Region Food Network,249.00,"Taylor Roy, Leah"
2022/04/01,Mascouche,0,To meet visitors of Member’s office,Hosting a meeting,M0326689,Maxi,33.99,"Thériault, Luc"
2022/05/02,Mascouche,0,To attend staff events including training,Hosting a staff event,M0330945,Maxi,21.60,"Thériault, Luc"
2022/06/28,Mascouche,0,To attend staff events including training,Hosting a meeting,M0326689,Maxi,4.89,"Thériault, Luc"
2022/11/01,Ottawa,4,To attend staff events including training,Hosting a staff event,M0330945,Maxi,5.09,"Thériault, Luc"
2022/11/01,Mascouche,4,To attend staff events including training,Hosting a staff event,M0326689,Maxi,9.98,"Thériault, Luc"
2022/11/24,Mascouche,60,To celebrate a significant event,Hosting a reception or open house,M0330550,SAQ,75.93,"Thériault, Luc"
2022/11/25,Ottawa,2,To attend staff events including training,Hosting a staff event,M0330946,Service de restauration,7.80,"Thériault, Luc"
2022/12/02,Mascouche,40,To celebrate a significant event,Hosting a reception or open house,M0330550,SAQ,58.14,"Thériault, Luc"
2022/12/04,Saint-Lin - Laurentides,5,To meet constituents,Community activity or event,M0326676,Paroisse Bse Emilie-Gamelin Communauté St-Lin,300.00,"Thériault, Luc"
2022/12/17,Mascouche,450,To meet constituents,Community activity or event,M0326664,FADOQ - Cercle d'Or de Mascouche,245.00,"Thériault, Luc"
2022/12/19,Mascouche,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0326704,Poulet Nouveau,27.10,"Thériault, Luc"
2022/12/21,Mascouche,4,To celebrate a significant event,Hosting a staff event,M0326720,Les Fous-Braques,372.95,"Thériault, Luc"
