"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/04/08,Red Deer,1,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0273538,Red Deer Chamber of Commerce,23.81,"Dreeshen, Earl"
2021/04/08,Red Deer,1,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0273538,Red Deer Chamber of Commerce,23.81,"Dreeshen, Earl"
2021/04/14,Red Deer,1,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0273538,Red Deer and District Chamber of Commerce,28.57,"Dreeshen, Earl"
2021/06/17,Red Deer,2,To celebrate a significant event,Hosting a staff event,M0273540,Garden Terrace Lounge,85.91,"Dreeshen, Earl"
2021/05/05,Montréal-Nord,350,To celebrate a significant event,Meal at a community activity or event,M0270459,École hôtelière de Montréal Calixa-Lavallée,300.00,"Dubourg, Emmanuel"
2021/05/07,Montréal-Nord,160,To celebrate a significant event,Meal at a community activity or event,M0270459,École hôtelière de Montréal Calixa-Lavallée,250.00,"Dubourg, Emmanuel"
2021/05/07,Montréal-Nord,125,To celebrate a significant event,Meal at a community activity or event,M0270459,École hôtelière de Montréal Calixa-Lavallée,200.00,"Dubourg, Emmanuel"
2021/05/07,Montréal-Nord,50,To celebrate a significant event,Meal at a community activity or event,M0270459,École hôtelière de Montréal Calixa-Lavallée,105.00,"Dubourg, Emmanuel"
2021/05/08,Montréal-Nord,120,To celebrate a significant event,Hosting a town hall or community event,M0270459,École hôtelière de Montréal Calixa-Lavallée,210.00,"Dubourg, Emmanuel"
2021/05/09,Montréal-Nord,80,To celebrate a significant event,Meal at a community activity or event,M0270459,École hôtelière de Montréal Calixa-Lavallée,125.00,"Dubourg, Emmanuel"
2021/05/09,Montréal-Nord,160,To celebrate a significant event,Meal at a community activity or event,M0270459,École hôtelière de Montréal Calixa-Lavallée,250.00,"Dubourg, Emmanuel"
2021/03/27,Long Sault,1,To meet constituents,Meal at a community activity or event,M0269327,Royal Canadian Legion Branch 569,60.00,"Duncan, Eric"
2021/04/01,Cornwall,2,To meet constituents,Hosting a meeting,M0267898,Stomping Grounds Bistro,44.97,"Duncan, Eric"
2021/04/05,Cornwall,3,To plan Member's priorities and activities,Hosting a staff event,M0267898,Cornwall BBQ,25.50,"Duncan, Eric"
2021/05/28,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0271721,3 Brasseurs,65.90,"Duncan, Eric"
2021/05/28,Cornwall,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0271721,Fairy Sweet,93.75,"Duncan, Eric"
2021/05/06,Lloydminster,3,To plan Member's priorities and activities,Hosting a staff event,M0271283,Spiro's,73.16,"Falk, Rosemarie"
2021/05/07,North Battleford,2,To plan Member's priorities and activities,Hosting a staff event,M0271283,Porta Bella Restaurant,52.55,"Falk, Rosemarie"
2021/04/01,Steinbach,0,To meet visitors of Member’s office,Hosting a meeting,M0269456,Superstore,29.98,"Falk, Ted"
