claim_id,from_date,end_date,transport_cost,accommodation_cost,meals_and_incidentals_cost,reg_points_used,special_points_used,USA_points_used,total_cost,mp_office
T0213146,2021/03/26,2021/06/30,0.0000,1954.5600,0.0000,0,0,0,1954.56,"Bérubé, Sylvie"
T0211573,2021/04/01,2021/04/30,0.0000,2200.0000,0.0000,0,0,0,2200.00,"Bérubé, Sylvie"
T0211575,2021/04/07,2021/04/07,98.2200,0.0000,45.6300,0,0.0000,0,143.85,"Bérubé, Sylvie"
T0211974,2021/04/11,2021/04/16,391.2700,0.0000,300.4000,1.0000,0,0,691.67,"Bérubé, Sylvie"
T0212307,2021/05/01,2021/05/31,0.0000,1915.9300,0.0000,0,0,0,1915.93,"Bérubé, Sylvie"
T0212152,2021/05/06,2021/06/05,0.0000,131.7700,0.0000,0,0,0,131.77,"Bérubé, Sylvie"
T0212642,2021/05/09,2021/05/13,391.2700,0.0000,0.0000,1.0000,0,0,391.27,"Bérubé, Sylvie"
T0212641,2021/05/09,2021/05/14,391.2700,0.0000,500.6700,1.0000,0,0,891.94,"Bérubé, Sylvie"
T0212777,2021/05/25,2021/05/26,382.6800,290.1800,176.9600,1.0000,0,0,849.82,"Bérubé, Sylvie"
T0212782,2021/05/25,2021/05/26,0.0000,0.0000,37.1900,0.0000,0,0,37.19,"Bérubé, Sylvie"
T0212779,2021/05/25,2021/05/26,0.0000,0.0000,176.9600,0.0000,0,0,176.96,"Bérubé, Sylvie"
T0213242,2021/06/10,2021/06/14,77.8200,0.0000,48.7300,0.0000,0.0000,0,126.55,"Bérubé, Sylvie"
T0213483,2021/06/22,2021/06/23,232.6000,114.0000,195.3300,0.0000,0,0,541.93,"Bérubé, Sylvie"
T0213457,2021/04/01,2021/04/30,150.1200,0.0000,0.0000,0.0000,0.0000,0,150.12,"Bessette, Lyne"
T0213458,2021/05/01,2021/05/31,96.3800,0.0000,0.0000,0.0000,0,0,96.38,"Bessette, Lyne"
T0213460,2021/05/28,2021/06/06,176.0500,0.0000,0.0000,0.0000,0,0,176.05,"Bessette, Lyne"
T0212313,2021/04/01,2021/04/30,0.0000,1500.0000,0.0000,0,0,0,1500.00,"Bezan, James"
T0212646,2021/04/08,2021/05/04,270.0700,0.0000,0.0000,0.0000,0,0,270.07,"Bezan, James"
T0212045,2021/04/09,2021/05/08,0.0000,116.9900,0.0000,0,0,0,116.99,"Bezan, James"
T0212916,2021/05/01,2021/05/31,0.0000,1550.0000,0.0000,0,0,0,1550.00,"Bezan, James"
T0212634,2021/05/09,2021/05/14,1646.8100,0.0000,500.6700,1.0000,0,0,2147.48,"Bezan, James"
T0212648,2021/05/09,2021/06/08,0.0000,116.9900,0.0000,0,0,0,116.99,"Bezan, James"
T0213138,2021/05/29,2021/06/04,306.9200,0.0000,0.0000,0.0000,0,0,306.92,"Bezan, James"
T0213168,2021/06/03,2021/06/09,363.2100,0.0000,0.0000,0.0000,0.0000,0,363.21,"Bezan, James"
T0213314,2021/06/06,2021/06/12,1628.9500,0.0000,600.8000,1.0000,0,0,2229.75,"Bezan, James"
T0213307,2021/06/09,2021/07/08,0.0000,116.9900,0.0000,0,0,0,116.99,"Bezan, James"
T0212542,2021/03/06,2021/05/06,0.0000,92.4800,0.0000,0,0,0,92.48,"Bibeau, Hon. Marie-Claude"
