icao,name,latitude,longitude,city,iata,province
CYTQ,Tasiujaq Airport,58.6678009033,-69.9558029175,Tasiujaq,YTQ,Quebec
CYTR,CFB Trenton,44.1189002991,-77.5280990601,Trenton,YTR,Ontario
CYTS,Timmins/Victor M. Power,48.5696983337,-81.376701355,Timmins,YTS,Ontario
CYTZ,Billy Bishop Toronto City Centre Airport,43.6274986267,-79.3962020874,Toronto,YTZ,Ontario
CYUB,Tuktoyaktuk Airport,69.4332962036,-133.0260009766,Tuktoyaktuk,YUB,Northwest Territories
CYUL,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,Montreal,YUL,Quebec
CYUT,Repulse Bay Airport,66.5214004517,-86.2247009277,Repulse Bay,YUT,Nunavut
CYUX,Hall Beach Airport,68.7761001587,-81.243598938,Hall Beach,YUX,Nunavut
CYUY,Rouyn Noranda Airport,48.2061004639,-78.8356018066,Rouyn-Noranda,YUY,Quebec
CYVB,Bonaventure Airport,48.0710983276,-65.4602966309,Bonaventure,YVB,Quebec
CYVC,La Ronge Airport,55.1514015198,-105.2620010376,La Ronge,YVC,Saskatchewan
CYVD,Virden/R.J. (Bob) Andrew Field Regional Aerodrome,49.8782997131,-100.917999268,Virden,,Manitoba
CYVG,Vermilion Airport,53.3558006287,-110.8239974976,Vermilion,YVG,Alberta
CYVM,Qikiqtarjuaq Airport,67.5457992554,-64.0314025879,Qikiqtarjuaq,YVM,Nunavut
CYVO,Val-d'Or Airport,48.0532989502,-77.7827987671,Val-d'Or,YVO,Quebec
CYVP,Kuujjuaq Airport,58.0960998535,-68.426902771,Kuujjuaq,YVP,Quebec
CYVQ,Norman Wells Airport,65.2816009521,-126.797996521,Norman Wells,YVQ,Northwest Territories
CYVT,Buffalo Narrows Airport,55.8418998718,-108.417999268,Buffalo Narrows,YVT,Saskatchewan
CYVV,Wiarton Airport,44.7458000183,-81.1072006226,Wiarton,YVV,Ontario
CYVZ,Deer Lake Airport,52.6557998657,-94.0614013672,Deer Lake,YVZ,Ontario
CYWA,Petawawa Airport,45.9522018433,-77.3191986084,Petawawa,YWA,Ontario
CYWE,Wekweeti Airport,64.1908035278,-114.077003479,Wekweeti,YFJ,Northwest-Territories
CYWG,Winnipeg / James Armstrong Richardson International Airport,49.9099998474,-97.2398986816,Winnipeg,YWG,Manitoba
CYWJ,Deline Airport,65.2110977173,-123.4359970093,Deline,YWJ,Northwest-Territories
CYWK,Wabush Airport,52.9219017029,-66.864402771,Wabush,YWK,Newfoundland-and-Labrador
CYWL,Williams Lake Airport,52.1831016541,-122.0540008545,Williams Lake,YWL,British-Columbia
CYWM,Athabasca Airport,54.7430992126,-113.2050018311,Athabasca,,Alberta
